t (ms),V (mV)
0,15.8
1,15.78
2.001,15.77
3.001,15.76
4,15.74
5,15.73
6,15.72
7.001,15.71
8.001,15.69
9,15.67
10.001,15.65
11,15.63
12,15.61
13.001,15.58
14,15.56
15,15.54
16,15.5
17,15.48
18,15.45
19,15.42
20,15.39
21.001,15.36
22.001,15.33
23,15.31
24.001,15.27
25,15.24
26,15.22
27,15.19
28,15.15
29,15.13
30,15.1
31,15.06
32,15.03
33,15.01
34,14.97
35.001,14.94
36.001,14.91
37.001,14.88
38.001,14.85
39,14.82
40.001,14.79
41.001,14.76
42,14.73
43.001,14.7
44,14.67
45.001,14.64
46.001,14.61
47,14.58
48,14.55
49,14.52
50,14.49
51.001,14.46
52,14.44
53.001,14.4
54,14.38
55.001,14.34
56,14.32
57,14.29
58.001,14.26
59.001,14.23
60.001,14.2
61,14.17
62,14.14
63,14.11
64,14.09
65.001,14.05
66,14.03
67,14
68,13.97
69,13.95
70.001,13.92
71,13.89
72,13.87
73,13.84
74.001,13.82
75.001,13.8
76,13.77
77,13.74
78.001,13.73
79,13.7
80.001,13.68
81.001,13.66
82.001,13.64
83,13.61
84.001,13.59
85.001,13.57
86,13.54
87.001,13.52
88.001,13.5
89,13.47
90.001,13.45
91.001,13.43
92.002,13.41
93.001,13.38
94,13.35
95.001,13.33
96,13.3
97,13.28
98.001,13.26
99,13.23
100,13.21
101.001,13.19
102.001,13.17
103,13.14
104,13.11
105,13.09
106.001,13.07
107.001,13.05
108,13.02
109.001,13
110,12.97
111,12.95
112.001,12.93
113,12.9
114,12.88
115.001,12.86
116,12.83
117,12.81
118.001,12.79
119.001,12.76
120,12.74
121.001,12.72
122,12.7
123,12.67
124,12.65
125,12.63
126.001,12.61
127.001,12.58
128,12.56
129,12.54
130.001,12.51
131,12.49
132,12.47
133.001,12.45
134.001,12.42
135,12.4
136.001,12.38
137,12.36
138.001,12.34
139,12.31
140.001,12.29
141,12.26
142,12.24
143.001,12.21
144,12.19
145.001,12.16
146.001,12.14
147.001,12.12
148.001,12.1
149.001,12.07
150.001,12.05
151,12.03
152.001,12.01
153.001,11.99
154.001,11.97
155,11.94
156.001,11.92
157.001,11.9
158.001,11.88
159,11.85
160,11.84
161,11.81
162,11.79
163,11.78
164.001,11.75
165.001,11.73
166,11.7
167,11.69
168,11.66
169,11.64
170,11.62
171.001,11.6
172,11.58
173,11.56
174.001,11.54
175,11.57
176,11.55
177.001,11.53
178,11.52
179,11.49
180,11.47
181,11.45
182.001,11.43
183.001,11.41
184,11.39
185,11.37
186.001,11.36
187,11.34
188,11.32
189.001,11.31
190,11.28
191,11.27
192,11.25
193,11.23
194.001,11.22
195.001,11.2
196,11.18
197.001,11.17
198.001,11.15
199.001,11.13
200.001,11.12
201.001,11.1
202,11.08
203.001,11.07
204.001,11.05
205.001,11.03
206,11.01
207.001,11
208.001,10.98
209,10.96
210,10.94
211.001,10.93
212.008,10.88
213,10.89
214.001,10.88
215.001,10.86
216,10.84
217.001,10.83
218.001,10.81
219,10.79
220.001,10.78
221,10.75
222,10.74
223,10.72
224,10.7
225,10.68
226,10.67
227,10.65
228.001,10.63
229,10.61
229.999,10.6
230.999,10.58
231.999,10.56
232.999,10.54
233.999,10.52
234.999,10.5
235.999,10.49
237,10.47
237.999,10.45
238.999,10.43
239.999,10.42
240.999,10.4
242,10.38
242.999,10.36
244,10.34
245,10.32
245.999,10.31
247,10.29
248,10.27
249,10.26
249.999,10.25
250.999,10.22
252,10.21
252.999,10.19
254,10.18
254.999,10.16
256,10.15
256.999,10.13
257.999,10.12
258.999,10.1
259.999,10.08
261,10.07
261.999,10.05
262.999,10.03
264,10.02
265,10
266,9.99
267.001,9.97
268,9.95
269.001,9.93
270.001,9.92
271.001,9.9
272.001,9.88
273,9.86
274,9.84
275.001,9.83
276.001,9.81
277,9.79
278,9.77
279.001,9.76
280.001,9.74
281,9.72
282.001,9.71
283,9.68
284.001,9.67
285.001,9.65
286,9.62
287.001,9.61
288.001,9.59
289,9.57
290,9.55
291.001,9.54
292,9.52
293.001,9.51
294,9.49
295,9.47
296.001,9.46
297.001,9.44
298,9.42
299.001,9.41
300.001,9.39
301.001,9.38
302.001,9.36
303,9.34
304.001,9.33
305,9.31
306,9.29
307.001,9.28
308,9.26
309,9.25
310.001,9.24
311,9.22
312,9.21
313.001,9.19
314,9.18
315,9.17
316,9.15
317.001,9.14
318,9.13
319,9.11
320.001,9.1
321,9.09
322,9.07
323,9.05
324,9.04
325,9.02
326,9.02
327,9
327.999,8.99
329,8.97
330.001,8.95
331,8.94
332.001,8.92
333,8.92
334,8.9
335,8.89
336,8.87
337.001,8.85
338.001,8.84
339.001,8.82
340,8.81
341,8.8
342.001,8.78
343,8.77
344,8.76
345,8.74
346.001,8.73
347,8.71
348,8.7
349,8.68
350.001,8.67
351.001,8.65
352.001,8.64
353.001,8.63
354.001,8.61
355,8.6
356.001,8.59
357,8.57
358.001,8.56
359,8.55
360,8.53
361.001,8.52
362,8.5
363,8.49
364,8.48
365,8.47
366,8.45
367,8.44
368,8.42
369,8.4
370,8.39
371.001,8.38
372,8.36
373.001,8.35
374,8.33
375.001,8.32
376.001,8.31
377,8.29
378.001,8.27
379,8.26
380.001,8.25
381,8.23
382,8.22
383.001,8.2
384,8.19
385.001,8.18
386,8.16
387.001,8.15
388,8.14
389,8.12
390.001,8.1
